name;Sample_or_Control;Month;Month_code;Site;Site_code;Month_site;Replicate;Month_site_replicate;Temperature;O2;pH;Salinity;NO3;SIOH4;PO4;DOC;TN;Zn_F;Pb_F;Cd_F;Cu_F;Zn_NF;Pb_NF;Cd_NF;Cu_NF
SUI_A001;True sample;M1 : February;M1;S5 : La Londe;S5;M1 S5;R1;M1 S5 R1;14.7;NA;8.23;38.4;0.379746835;0.475409836;0.220810943;1.134;0.08915;50.292;1.02;0.115;4.374;53.074;1.477;0.122;4.783
SUI_A002;True sample;M1 : February;M1;S5 : La Londe;S5;M1 S5;R2;M1 S5 R2;14.7;NA;8.23;38.4;0.379746835;0.475409836;0.220810943;1.134;0.08915;50.292;1.02;0.115;4.374;53.074;1.477;0.122;4.783
SUI_A003;True sample;M1 : February;M1;S5 : La Londe;S5;M1 S5;R3;M1 S5 R3;14.7;NA;8.23;38.4;0.379746835;0.475409836;0.220810943;1.134;0.08915;50.292;1.02;0.115;4.374;53.074;1.477;0.122;4.783
SUI_A006;True sample;M1 : February;M1;S2 : Carqueiranne;S2;M1 S2;R1;M1 S2 R1;13.8;NA;8.22;38.1;0.379746835;0.628415301;0.225696141;0.9802;0.0674;7.596;0.115;0.058;3.347;6.658;0.279;0.053;4.082
SUI_A007;True sample;M1 : February;M1;S2 : Carqueiranne;S2;M1 S2;R2;M1 S2 R2;13.8;NA;8.22;38.1;0.379746835;0.628415301;0.225696141;0.9802;0.0674;7.596;0.115;0.058;3.347;6.658;0.279;0.053;4.082
SUI_A008;True sample;M1 : February;M1;S2 : Carqueiranne;S2;M1 S2;R3;M1 S2 R3;13.8;NA;8.22;38.1;0.379746835;0.628415301;0.225696141;0.9802;0.0674;7.596;0.115;0.058;3.347;6.658;0.279;0.053;4.082
SUI_A011;True sample;M1 : February;M1;S1 : Tamaris;S1;M1 S1;R1;M1 S1 R1;12.9;NA;8.2;37.8;0.379746835;0.879781421;0.328285296;1.027;0.09737;61.009;1.65;0.13;22.093;64.376;4.345;0.142;23.11
SUI_A012;True sample;M1 : February;M1;S1 : Tamaris;S1;M1 S1;R2;M1 S1 R2;12.9;NA;8.2;37.8;0.379746835;0.879781421;0.328285296;1.027;0.09737;61.009;1.65;0.13;22.093;64.376;4.345;0.142;23.11
SUI_A013;True sample;M1 : February;M1;S1 : Tamaris;S1;M1 S1;R3;M1 S1 R3;12.9;NA;8.2;37.8;0.379746835;0.879781421;0.328285296;1.027;0.09737;61.009;1.65;0.13;22.093;64.376;4.345;0.142;23.11
SUI_A016;True sample;M1 : February;M1;S3  : Porquerolles north;S3;M1 S3;R1;M1 S3 R1;12.3;NA;8.35;38.6;0.506329114;0.28;0.269662921;0.988;0.07304;6.93;0.135;0.053;3.834;7.537;0.12;0.058;3.724
SUI_A017;True sample;M1 : February;M1;S3  : Porquerolles north;S3;M1 S3;R2;M1 S3 R2;12.3;NA;8.35;38.6;0.506329114;0.28;0.269662921;0.988;0.07304;6.93;0.135;0.053;3.834;7.537;0.12;0.058;3.724
SUI_A018;True sample;M1 : February;M1;S3  : Porquerolles north;S3;M1 S3;R3;M1 S3 R3;12.3;NA;8.35;38.6;0.506329114;0.28;0.269662921;0.988;0.07304;6.93;0.135;0.053;3.834;7.537;0.12;0.058;3.724
SUI_A021;True sample;M1 : February;M1;S4  : Porquerolles south;S4;M1 S4;R1;M1 S4 R1;11.5;NA;8.38;38.6;0.506329114;0.28;0.255007328;1.009;0.08962;5.095;0.082;0.054;2.665;4.267;0.092;0.057;2.88
SUI_A022;True sample;M1 : February;M1;S4  : Porquerolles south;S4;M1 S4;R2;M1 S4 R2;11.5;NA;8.38;38.6;0.506329114;0.28;0.255007328;1.009;0.08962;5.095;0.082;0.054;2.665;4.267;0.092;0.057;2.88
SUI_A023;True sample;M1 : February;M1;S4  : Porquerolles south;S4;M1 S4;R3;M1 S4 R3;11.5;NA;8.38;38.6;0.506329114;0.28;0.255007328;1.009;0.08962;5.095;0.082;0.054;2.665;4.267;0.092;0.057;2.88
SUI_A026;True sample;M2 : March;M2;S5 : La Londe;S5;M2 S5;R1;M2 S5 R1;14.4;94;7.98;37.1;0.348101266;0.568306011;0.175720359;1.121;0.1784;109.338;1.811;0.163;4.669;149.434;4.279;0.236;6.945
SUI_A027;True sample;M2 : March;M2;S5 : La Londe;S5;M2 S5;R2;M2 S5 R2;14.4;94;7.98;37.1;0.348101266;0.568306011;0.175720359;1.121;0.1784;109.338;1.811;0.163;4.669;149.434;4.279;0.236;6.945
SUI_A028;True sample;M2 : March;M2;S5 : La Londe;S5;M2 S5;R3;M2 S5 R3;14.4;94;7.98;37.1;0.348101266;0.568306011;0.175720359;1.121;0.1784;109.338;1.811;0.163;4.669;149.434;4.279;0.236;6.945
SUI_A031;True sample;M2 : March;M2;S2 : Carqueiranne;S2;M2 S2;R1;M2 S2 R1;14.9;84;7.89;37.2;0.379746835;0.590163934;0.192253188;1.031;0.06643;7.372;0.136;0.071;3.731;7.943;0.338;0.038;4.321
SUI_A032;True sample;M2 : March;M2;S2 : Carqueiranne;S2;M2 S2;R2;M2 S2 R2;14.9;84;7.89;37.2;0.379746835;0.590163934;0.192253188;1.031;0.06643;7.372;0.136;0.071;3.731;7.943;0.338;0.038;4.321
SUI_A033;True sample;M2 : March;M2;S2 : Carqueiranne;S2;M2 S2;R3;M2 S2 R3;14.9;84;7.89;37.2;0.379746835;0.590163934;0.192253188;1.031;0.06643;7.372;0.136;0.071;3.731;7.943;0.338;0.038;4.321
SUI_A036;True sample;M2 : March;M2;S1 : Tamaris;S1;M2 S1;R1;M2 S1 R1;15.8;103;7.77;36.5;0.443037975;0.459016393;0.232404346;1.112;0.1079;47.955;1.286;0.111;20.805;65.903;5.195;0.124;28.14
SUI_A037;True sample;M2 : March;M2;S1 : Tamaris;S1;M2 S1;R2;M2 S1 R2;15.8;103;7.77;36.5;0.443037975;0.459016393;0.232404346;1.112;0.1079;47.955;1.286;0.111;20.805;65.903;5.195;0.124;28.14
SUI_A038;True sample;M2 : March;M2;S1 : Tamaris;S1;M2 S1;R3;M2 S1 R3;15.8;103;7.77;36.5;0.443037975;0.459016393;0.232404346;1.112;0.1079;47.955;1.286;0.111;20.805;65.903;5.195;0.124;28.14
SUI_A041;True sample;M2 : March;M2;S3  : Porquerolles north;S3;M2 S3;R1;M2 S3 R1;15.5;83;8.3;38.3;0.348101266;0.147540984;0.180444025;1.002;0.07282;9.01;0.115;0.063;3.827;10.74;0.187;0.065;4.532
SUI_A042;True sample;M2 : March;M2;S3  : Porquerolles north;S3;M2 S3;R2;M2 S3 R2;15.5;83;8.3;38.3;0.348101266;0.147540984;0.180444025;1.002;0.07282;9.01;0.115;0.063;3.827;10.74;0.187;0.065;4.532
SUI_A043;True sample;M2 : March;M2;S3  : Porquerolles north;S3;M2 S3;R3;M2 S3 R3;15.5;83;8.3;38.3;0.348101266;0.147540984;0.180444025;1.002;0.07282;9.01;0.115;0.063;3.827;10.74;0.187;0.065;4.532
SUI_A046;True sample;M2 : March;M2;S4  : Porquerolles south;S4;M2 S4;R1;M2 S4 R1;14.3;84;7.91;38.2;0.379746835;0.404371585;0.192253188;1.023;0.07682;6.767;0.09;0.069;3.057;7.466;0.254;0.069;3.672
SUI_A047;True sample;M2 : March;M2;S4  : Porquerolles south;S4;M2 S4;R2;M2 S4 R2;14.3;84;7.91;38.2;0.379746835;0.404371585;0.192253188;1.023;0.07682;6.767;0.09;0.069;3.057;7.466;0.254;0.069;3.672
SUI_A048;True sample;M2 : March;M2;S4  : Porquerolles south;S4;M2 S4;R3;M2 S4 R3;14.3;84;7.91;38.2;0.379746835;0.404371585;0.192253188;1.023;0.07682;6.767;0.09;0.069;3.057;7.466;0.254;0.069;3.672
SUI_A051;True sample;M3 : April;M3;S5 : La Londe;S5;M3 S5;R1;M3 S5 R1;15.2;86;7.97;37.3;0.284810127;0.206546275;0.279433317;1.164;0.09568;338.902;3.648;0.43;6.661;348.294;7.463;0.498;8.748
SUI_A052;True sample;M3 : April;M3;S5 : La Londe;S5;M3 S5;R2;M3 S5 R2;15.2;86;7.97;37.3;0.284810127;0.206546275;0.279433317;1.164;0.09568;338.902;3.648;0.43;6.661;348.294;7.463;0.498;8.748
SUI_A053;True sample;M3 : April;M3;S5 : La Londe;S5;M3 S5;R3;M3 S5 R3;15.2;86;7.97;37.3;0.284810127;0.206546275;0.279433317;1.164;0.09568;338.902;3.648;0.43;6.661;348.294;7.463;0.498;8.748
SUI_A056;True sample;M3 : April;M3;S2 : Carqueiranne;S2;M3 S2;R1;M3 S2 R1;16;95;8.24;37;0.316455696;0.56772009;0.18172936;1.067;0.07636;6.101;0.139;0.047;4.111;8.173;0.436;0.047;5.385
SUI_A057;True sample;M3 : April;M3;S2 : Carqueiranne;S2;M3 S2;R2;M3 S2 R2;16;95;8.24;37;0.316455696;0.56772009;0.18172936;1.067;0.07636;6.101;0.139;0.047;4.111;8.173;0.436;0.047;5.385
SUI_A058;True sample;M3 : April;M3;S2 : Carqueiranne;S2;M3 S2;R3;M3 S2 R3;16;95;8.24;37;0.316455696;0.56772009;0.18172936;1.067;0.07636;6.101;0.139;0.047;4.111;8.173;0.436;0.047;5.385
SUI_A061;True sample;M3 : April;M3;S1 : Tamaris;S1;M3 S1;R1;M3 S1 R1;16.9;119;8.14;36.8;0.348101266;0.516930023;0.338055691;1.099;0.08684;32.379;1.181;0.081;14.763;39.247;3.037;0.086;18.956
SUI_A062;True sample;M3 : April;M3;S1 : Tamaris;S1;M3 S1;R2;M3 S1 R2;16.9;119;8.14;36.8;0.348101266;0.516930023;0.338055691;1.099;0.08684;32.379;1.181;0.081;14.763;39.247;3.037;0.086;18.956
SUI_A063;True sample;M3 : April;M3;S1 : Tamaris;S1;M3 S1;R3;M3 S1 R3;16.9;119;8.14;36.8;0.348101266;0.516930023;0.338055691;1.099;0.08684;32.379;1.181;0.081;14.763;39.247;3.037;0.086;18.956
SUI_A066;True sample;M3 : April;M3;S3  : Porquerolles north;S3;M3 S3;R1;M3 S3 R1;14.6;88;7.65;37.2;0.284810127;0.866817156;0.357596483;1.104;0.264;10.045;0.123;0.059;5.188;9.448;0.233;0.058;6.033
SUI_A067;True sample;M3 : April;M3;S3  : Porquerolles north;S3;M3 S3;R2;M3 S3 R2;14.6;88;7.65;37.2;0.284810127;0.866817156;0.357596483;1.104;0.264;10.045;0.123;0.059;5.188;9.448;0.233;0.058;6.033
SUI_A068;True sample;M3 : April;M3;S3  : Porquerolles north;S3;M3 S3;R3;M3 S3 R3;14.6;88;7.65;37.2;0.284810127;0.866817156;0.357596483;1.104;0.264;10.045;0.123;0.059;5.188;9.448;0.233;0.058;6.033
SUI_A071;True sample;M3 : April;M3;S4  : Porquerolles south;S4;M3 S4;R1;M3 S4 R1;14.4;84;7.78;37.2;0.221518987;0.223476298;0.255007328;1.066;0.0844;10.649;0.07;0.073;2.846;10.436;0.229;0.055;3.684
SUI_A072;True sample;M3 : April;M3;S4  : Porquerolles south;S4;M3 S4;R2;M3 S4 R2;14.4;84;7.78;37.2;0.221518987;0.223476298;0.255007328;1.066;0.0844;10.649;0.07;0.073;2.846;10.436;0.229;0.055;3.684
SUI_A073;True sample;M3 : April;M3;S4  : Porquerolles south;S4;M3 S4;R3;M3 S4 R3;14.4;84;7.78;37.2;0.221518987;0.223476298;0.255007328;1.066;0.0844;10.649;0.07;0.073;2.846;10.436;0.229;0.055;3.684
SUI_A076;True sample;M4 : May;M4;S5 : La Londe;S5;M4 S5;R1;M4 S5 R1;19.9;85;7.99;36.8;0.284810127;0.268623025;0.057855362;1.122;0.07578;78.241;1.743;0.18;4.415;92.871;2.701;0.202;5.318
SUI_A077;True sample;M4 : May;M4;S5 : La Londe;S5;M4 S5;R2;M4 S5 R2;19.9;85;7.99;36.8;0.284810127;0.268623025;0.057855362;1.122;0.07578;78.241;1.743;0.18;4.415;92.871;2.701;0.202;5.318
SUI_A078;True sample;M4 : May;M4;S5 : La Londe;S5;M4 S5;R3;M4 S5 R3;19.9;85;7.99;36.8;0.284810127;0.268623025;0.057855362;1.122;0.07578;78.241;1.743;0.18;4.415;92.871;2.701;0.202;5.318
SUI_A081;True sample;M4 : May;M4;S2 : Carqueiranne;S2;M4 S2;R1;M4 S2 R1;21.6;88;7.9;36.8;0.284810127;0.341986456;0.117705736;1.343;0.1555;13.995;0.744;0.061;6.177;15.85;0.277;0.056;6.545
SUI_A082;True sample;M4 : May;M4;S2 : Carqueiranne;S2;M4 S2;R2;M4 S2 R2;21.6;88;7.9;36.8;0.284810127;0.341986456;0.117705736;1.343;0.1555;13.995;0.744;0.061;6.177;15.85;0.277;0.056;6.545
SUI_A083;True sample;M4 : May;M4;S2 : Carqueiranne;S2;M4 S2;R3;M4 S2 R3;21.6;88;7.9;36.8;0.284810127;0.341986456;0.117705736;1.343;0.1555;13.995;0.744;0.061;6.177;15.85;0.277;0.056;6.545
SUI_A086;True sample;M4 : May;M4;S1 : Tamaris;S1;M4 S1;R1;M4 S1 R1;22.1;90;8.12;36.6;0.284810127;0.584650113;0.175062344;1.318;0.0928;45.257;1.501;0.084;37.528;109.166;15.214;0.121;63.189
SUI_A087;True sample;M4 : May;M4;S1 : Tamaris;S1;M4 S1;R2;M4 S1 R2;22.1;90;8.12;36.6;0.284810127;0.584650113;0.175062344;1.318;0.0928;45.257;1.501;0.084;37.528;109.166;15.214;0.121;63.189
SUI_A088;True sample;M4 : May;M4;S1 : Tamaris;S1;M4 S1;R3;M4 S1 R3;22.1;90;8.12;36.6;0.284810127;0.584650113;0.175062344;1.318;0.0928;45.257;1.501;0.084;37.528;109.166;15.214;0.121;63.189
SUI_A091;True sample;M4 : May;M4;S3  : Porquerolles north;S3;M4 S3;R1;M4 S3 R1;18.4;93;8.22;36.8;0.253164557;0.641083521;0.100249377;1.067;0.07999;9.995;0.113;0.057;3.175;10.789;0.166;0.06;3.428
SUI_A092;True sample;M4 : May;M4;S3  : Porquerolles north;S3;M4 S3;R2;M4 S3 R2;18.4;93;8.22;36.8;0.253164557;0.641083521;0.100249377;1.067;0.07999;9.995;0.113;0.057;3.175;10.789;0.166;0.06;3.428
SUI_A093;True sample;M4 : May;M4;S3  : Porquerolles north;S3;M4 S3;R3;M4 S3 R3;18.4;93;8.22;36.8;0.253164557;0.641083521;0.100249377;1.067;0.07999;9.995;0.113;0.057;3.175;10.789;0.166;0.06;3.428
SUI_A096;True sample;M4 : May;M4;S4  : Porquerolles south;S4;M4 S4;R1;M4 S4 R1;17.1;92;8.16;36.9;0.284810127;0.398419865;0.09276808;1.097;0.07135;7.144;0.101;0.061;2.661;5.811;0.242;0.057;3.021
SUI_A097;True sample;M4 : May;M4;S4  : Porquerolles south;S4;M4 S4;R2;M4 S4 R2;17.1;92;8.16;36.9;0.284810127;0.398419865;0.09276808;1.097;0.07135;7.144;0.101;0.061;2.661;5.811;0.242;0.057;3.021
SUI_A098;True sample;M4 : May;M4;S4  : Porquerolles south;S4;M4 S4;R3;M4 S4 R3;17.1;92;8.16;36.9;0.284810127;0.398419865;0.09276808;1.097;0.07135;7.144;0.101;0.061;2.661;5.811;0.242;0.057;3.021
SUI_A106;True sample;M5 : June;M5;S2 : Carqueiranne;S2;M5 S2;R1;M5 S2 R1;23.2;88;7.96;36.8;0.380116959;0.748306998;0.057855362;1.064;0.1152;8.758;0.167;0.057;6.112;10.992;0.406;0.059;6.477
SUI_A107;True sample;M5 : June;M5;S2 : Carqueiranne;S2;M5 S2;R2;M5 S2 R2;23.2;88;7.96;36.8;0.380116959;0.748306998;0.057855362;1.064;0.1152;8.758;0.167;0.057;6.112;10.992;0.406;0.059;6.477
SUI_A108;True sample;M5 : June;M5;S2 : Carqueiranne;S2;M5 S2;R3;M5 S2 R3;23.2;88;7.96;36.8;0.380116959;0.748306998;0.057855362;1.064;0.1152;8.758;0.167;0.057;6.112;10.992;0.406;0.059;6.477
SUI_A111;True sample;M5 : June;M5;S1 : Tamaris;S1;M5 S1;R1;M5 S1 R1;24.3;82;7.98;36.9;0.292397661;0.74863388;0.097755611;1.043;0.1135;27.583;1.143;0.076;20.854;55.998;8.505;0.101;39.149
SUI_A112;True sample;M5 : June;M5;S1 : Tamaris;S1;M5 S1;R2;M5 S1 R2;24.3;82;7.98;36.9;0.292397661;0.74863388;0.097755611;1.043;0.1135;27.583;1.143;0.076;20.854;55.998;8.505;0.101;39.149
SUI_A113;True sample;M5 : June;M5;S1 : Tamaris;S1;M5 S1;R3;M5 S1 R3;24.3;82;7.98;36.9;0.292397661;0.74863388;0.097755611;1.043;0.1135;27.583;1.143;0.076;20.854;55.998;8.505;0.101;39.149
SUI_A116;True sample;M5 : June;M5;S3  : Porquerolles north;S3;M5 S3;R1;M5 S3 R1;23.6;94;7.94;36.9;0.350877193;0.715846995;0.162593516;0.9785;0.07992;13.085;0.251;0.063;7.597;12.002;0.154;0.068;6.648
SUI_A117;True sample;M5 : June;M5;S3  : Porquerolles north;S3;M5 S3;R2;M5 S3 R2;23.6;94;7.94;36.9;0.350877193;0.715846995;0.162593516;0.9785;0.07992;13.085;0.251;0.063;7.597;12.002;0.154;0.068;6.648
SUI_A118;True sample;M5 : June;M5;S3  : Porquerolles north;S3;M5 S3;R3;M5 S3 R3;23.6;94;7.94;36.9;0.350877193;0.715846995;0.162593516;0.9785;0.07992;13.085;0.251;0.063;7.597;12.002;0.154;0.068;6.648
SUI_A121;True sample;M5 : June;M5;S4  : Porquerolles south;S4;M5 S4;R1;M5 S4 R1;23.8;84;7.86;36.9;0.321637427;0.50273224;0.122693267;1.158;0.1097;7.509;0.098;0.084;4.004;7.934;0.166;0.096;3.817
SUI_A122;True sample;M5 : June;M5;S4  : Porquerolles south;S4;M5 S4;R2;M5 S4 R2;23.8;84;7.86;36.9;0.321637427;0.50273224;0.122693267;1.158;0.1097;7.509;0.098;0.084;4.004;7.934;0.166;0.096;3.817
SUI_A123;True sample;M5 : June;M5;S4  : Porquerolles south;S4;M5 S4;R3;M5 S4 R3;23.8;84;7.86;36.9;0.321637427;0.50273224;0.122693267;1.158;0.1097;7.509;0.098;0.084;4.004;7.934;0.166;0.096;3.817
SUI_A131;True sample;M6 : July;M6;S2 : Carqueiranne;S2;M6 S2;R1;M6 S2 R1;23.1;89;8;37.1;0.63;0.58;0.23;1.148;0.09645;6.804;0.112;0.071;6.319;15.371;0.18;0.056;6.405
SUI_A132;True sample;M6 : July;M6;S2 : Carqueiranne;S2;M6 S2;R2;M6 S2 R2;23.1;89;8;37.1;0.63;0.58;0.23;1.148;0.09645;6.804;0.112;0.071;6.319;15.371;0.18;0.056;6.405
SUI_A133;True sample;M6 : July;M6;S2 : Carqueiranne;S2;M6 S2;R3;M6 S2 R3;23.1;89;8;37.1;0.63;0.58;0.23;1.148;0.09645;6.804;0.112;0.071;6.319;15.371;0.18;0.056;6.405
SUI_A146;True sample;M6 : July;M6;S4  : Porquerolles south;S4;M6 S4;R1;M6 S4 R1;21.3;80;8;37;0.65;0.36;0.26;1.107;0.08032;10.6;0.052;0.064;3.274;8.755;0.108;0.072;3.445
SUI_A147;True sample;M6 : July;M6;S4  : Porquerolles south;S4;M6 S4;R2;M6 S4 R2;21.3;80;8;37;0.65;0.36;0.26;1.107;0.08032;10.6;0.052;0.064;3.274;8.755;0.108;0.072;3.445
SUI_A148;True sample;M6 : July;M6;S4  : Porquerolles south;S4;M6 S4;R3;M6 S4 R3;21.3;80;8;37;0.65;0.36;0.26;1.107;0.08032;10.6;0.052;0.064;3.274;8.755;0.108;0.072;3.445
SUI_EB1;Control;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SUI_EB2;Control;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SUI_NC;Control;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
